coin,date_added,max_supply,circulating_supply,total_supply,market_cap,Volume24h,price
YSR,2020-07-02T00:00:00.000Z,10000000000.0,0.0,4046789712.0,0.0,3552.31562791,0.007039860317
MSC,2021-02-14T00:00:00.000Z,57.0,0.0,0.0,0.0,3555.16444312,0.06686066842311
YFFI,2020-08-04T00:00:00.000Z,30000.0,0.0,0.0,0.0,3536.41080093,6.67700901282047
LTP,2020-11-26T00:00:00.000Z,12000000.0,0.0,0.0,0.0,3504.00247453,0.0389992261879
SHD,2021-04-07T00:00:00.000Z,30000000.0,0.0,0.0,0.0,3487.09062634,0.98455017272809
BCDN,2017-12-06T00:00:00.000Z,,0.0,1000000000.0,0.0,3546.17999993,0.00214895736097
SLS,2016-01-22T00:00:00.000Z,,0.0,1012265.271484,0.0,3382.23059654,37.0240598894732
GTF,2020-08-10T00:00:00.000Z,,0.0,300000000.0,0.0,3381.54266204,0.00058003171687
MODEX,2019-11-26T00:00:00.000Z,,0.0,266399993.0,0.0,3332.52896453,0.03199028881265
GNC,2020-10-19T00:00:00.000Z,,0.0,0.0,0.0,3296.8068743,0.03803393723618
QOOB,2020-10-08T00:00:00.000Z,7000000000.0,0.0,0.0,0.0,3277.1849552,0.02756
MCP,2021-01-05T00:00:00.000Z,,0.0,13560000.0,0.0,3253.19581974,0.02751692770629
POKE,2021-01-21T00:00:00.000Z,100000000.0,0.0,4965992.0,0.0,3250.45500574,0.0794469456788
POLAR,2021-03-30T00:00:00.000Z,500000.0,0.0,91427.912818,0.0,3232.79764565,8.55836202662899
STACY,2020-11-02T00:00:00.000Z,,0.0,1000000000.0,0.0,3206.49361736,0.00429405012019
FIT,2020-12-17T00:00:00.000Z,21000000.0,0.0,0.0,0.0,3194.3571943,9.01321051919647
PSY,2021-01-27T00:00:00.000Z,35149376.0,0.0,0.0,0.0,3198.21483356,0.04048160511386
GADOSHI,2021-02-25T00:00:00.000Z,730693539.0,0.0,0.0,0.0,3078.00650007,0.00028958834721
DAFT,2021-03-22T00:00:00.000Z,100000000.0,0.0,0.0,0.0,3093.29160928,0.01159266246395
WBIND,2021-02-10T00:00:00.000Z,0.0,0.0,0.0,0.0,3005.64451048,0.05716614811726
ENTONE,2020-07-07T00:00:00.000Z,50000000.0,0.0,8537000.0,0.0,3012.14392171,0.08504831249439
POX,2020-08-24T00:00:00.000Z,50000000.0,0.0,50000000.0,0.0,2977.69761917,0.52065084219572
SMBSWAP,2020-11-24T00:00:00.000Z,100000000.0,0.0,0.0,0.0,2936.66587489,0.9276314097989
TBP,2020-11-25T00:00:00.000Z,2000000000.0,0.0,0.0,0.0,2900.81484481,0.00983451590814
SCH,2019-12-31T00:00:00.000Z,200000000.0,0.0,200000000.0,0.0,2902.93171699,0.00351616968813
SOX,2021-04-21T00:00:00.000Z,3200.0,0.0,0.0,0.0,2866.47110726,922.236384246023
MSS,2021-02-14T00:00:00.000Z,50000.0,0.0,0.0,0.0,2863.94765139,6.00819747690975
RPT,2021-02-08T00:00:00.000Z,,0.0,0.0,0.0,2837.64405026,0.35950674577592
LIQUID,2020-11-11T00:00:00.000Z,,0.0,0.0,0.0,2832.89748028,46.90021970408642
ANT,2021-04-20T00:00:00.000Z,,0.0,0.0,0.0,2855.98961777,0.00014116250447
BOS,2019-09-16T00:00:00.000Z,,0.0,100820225.0,0.0,2816.99826679,0.00196036110305
